Height,Shoesize,Armspan,Cubit,Attract,CDs,Miles,Work,Change,Sex,Live,Class,Birth,Grade,Tongue
72.5,13,75.5,,7,60,23,15,0.31,m,apartment,Sophomore,U.S.,A,yes
75.5,13.25,77.5,,7,35,0.5,20,0,m,apartment,Sophomore,U.S.,A,yes
75,13.75,78.25,20.5,8,0,0.5,0,0,m,apartment,Sophomore,U.S.,A,yes
73,13,75.25,,8,150,6,12,19,m,family home,Sophomore,U.S.,A,yes
70,10.5,63.75,,8,50,0,18,0.96,m,campus housing,Junior,U.S.,A,yes
66.25,11.5,66,,6,8,0.5,0,0,f,campus housing,Junior,U.S.,A,yes
74,13,69,18,7,250,0.5,5,39,m,campus housing,Junior,U.S.,A,yes
74.5,15,75,,10,0,0,32,0,m,campus housing,Junior,U.S.,A,yes
61.5,7,58,,5,30,20,15,0,f,apartment,Junior,U.S.,A,yes
70.75,9.5,71.5,,8,120,0,14,0,m,apartment,Junior,U.S.,A,yes
67,10,67.5,,7,35,10,23,0.97,m,apartment,Junior,U.S.,A,yes
73,10.5,70.125,,7,200,1,0,0.51,m,apartment,Junior,U.S.,A,yes
66.5,11,62,,9.5,50,12,11,1.56,f,apartment,Junior,U.S.,A,yes
73,11,76.75,,8,40,1,0,0,m,apartment,Junior,U.S.,A,yes
70.75,11.5,73,19.5,10,3,2,20,0,m,apartment,Junior,U.S.,A,yes
68.75,11.75,71,,9,75,2,0,0,m,apartment,Junior,U.S.,A,yes
71,11.75,71,,6,63,10,0,0,m,apartment,Junior,U.S.,A,yes
75,13,71.5,,6,3,1,20,0,m,apartment,Junior,U.S.,A,yes
65,10.5,67,,5,32,25,27.5,0.99,f,family home,Junior,U.S.,A,yes
68,11,67,17.5,7,0,37,12,0.45,f,family home,Junior,U.S.,A,yes
62,10.5,62.5,,10,0,3,20,0,f,apartment,Senior,U.S.,A,yes
66,9.25,65.75,,5,75,7,40,0,f,family home,Senior,U.S.,A,yes
66,11,65,,5,,16,0,0.44,f,family home,Senior,U.S.,A,yes
64,10.5,61,,5,0,10,0,0,f,other,Senior,U.S.,A,yes
69.5,10.75,67,,7,40,2,0,0,m,other,Senior,U.S.,A,yes
72.5,11.5,67,20,7,10,1,0,0,m,apartment,Sophomore,Not U.S.,A,yes
68.75,12,64,,9,0,1.23,0,0.51,m,apartment,Sophomore,Not U.S.,A,yes
72,12.5,73,,8,65,1,,0.68,m,apartment,Sophomore,Not U.S.,A,yes
61.75,9.5,61.5,,6,0,5,7.5,0.6,f,family home,Sophomore,Not U.S.,A,yes
60,10,57.5,14,7,20,25,25,0.2,f,family home,Sophomore,Not U.S.,A,yes
